"Director.Name","Birthday","Age","Birthplace","Movie.Title","title","credits","grade","fir_year","year","tomatometer","audience_score","box_office","content_metadataGenres","content_metadataProps","criticsScore_likedCount","criticsScore_notLikedCount","criticsScore_ratingCount","overlay_criticsTop_likedCount","overlay_criticsTop_notLikedCount","overlay_criticsTop_ratingCount","overlay_mediaType","Action","Mystery_._Thriller","Kids_._Family","Adventure","Drama","Documentary","Biography","Sci.Fi","Fantasy","Comedy","Animation","Romance","Crime","Reality","Talk_Show","Sports","Health_._Wellness","News","Music","Entertainment","Travel","War","History","Western","Holiday","Other","LGBTQ.","Horror","Musical","Special_Interest","Variety","Sports_._Fitness","Anime"
"Sylvester Stallone","Jul 6, 1946","78","New York, New York, USA","Staying Alive","Levon's Trade","Screenwriter,Producer","R",2025,"2025","No Score Yet","No Score Yet",NA,"Action, Mystery & Thriller","R",0,0,0,0,0,0,"Movie",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sylvester Stallone","Jul 6, 1946","78","New York, New York, USA","Staying Alive","Armor","Unknown (Character)","R",2024,"2024","No Score Yet","No Score Yet",NA,"Action, Mystery & Thriller","R, Released Nov 22, 1h 29m",0,16,16,0,2,2,"Movie",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sylvester Stallone","Jul 6, 1946","78","New York, New York, USA","Staying Alive","Lost on a Mountain in Maine","Producer","PG",2024,"2024","57","92",NA,"Kids & Family, Adventure, Drama","PG, Now Playing, 1h 38m",8,6,14,1,1,2,"Movie",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sylvester Stallone","Jul 6, 1946","78","New York, New York, USA","Staying Alive","Sly","Self,Executive Producer","R",2023,"2023","81","87",NA,"Documentary, Biography","R, Released Oct 27, 2023, 1h 35m",44,10,54,15,4,19,"Movie",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sylvester Stallone","Jul 6, 1946","78","New York, New York, USA","Staying Alive","Expend4bles","Barney Ross (Character)","R",2023,"2023","14","70","16244207","Action, Adventure","R, Released Sep 22, 2023, 1h 43m",17,107,124,5,23,28,"Movie",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sylvester Stallone","Jul 6, 1946","78","New York, New York, USA","Staying Alive","Guardians of the Galaxy Vol. 3","Stakar Ogord (Character)","PG-13",2023,"2023","82","94","358952096","Sci-Fi, Adventure, Action, Fantasy, Comedy","PG-13, Released May 5, 2023, 2h 30m",334,73,407,50,24,74,"Movie",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sylvester Stallone","Jul 6, 1946","78","New York, New York, USA","Staying Alive","Creed III","Producer","PG-13",2023,"2023","89","95","156240128","Drama, Action","PG-13, Released Mar 3, 2023, 1h 56m",302,39,341,68,6,74,"Movie",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sylvester Stallone","Jul 6, 1946","78","New York, New York, USA","Staying Alive","Samaritan","Joe (Character),Producer","PG-13",2022,"2022","38","70",NA,"Action, Fantasy, Drama, Mystery & Thriller","PG-13, 2022, 1h 39m",45,74,119,11,13,24,"Movie",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sylvester Stallone","Jul 6, 1946","78","New York, New York, USA","Staying Alive","Rocky IV: Rocky vs. Drago","Rocky Balboa (Character),Director,Screenwriter",NA,2021,"2021","72","93",NA,"Drama","Released Nov 11, 2021, 1h 34m",13,5,18,3,1,4,"Movie",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sylvester Stallone","Jul 6, 1946","78","New York, New York, USA","Staying Alive","The Suicide Squad","King Shark (Voice)","R",2021,"2021","90","82","55795456","Action, Adventure, Comedy","R, Released Aug 6, 2021, 2h 12m",345,38,383,52,8,60,"Movie",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
